epoch,accuracy,loss,val_accuracy,val_loss
0,0.5000609755516052,1.3699713945388794,0.5323430895805359,1.2919806241989136
1,0.5426089763641357,1.2631850242614746,0.5495254397392273,1.2482293844223022
2,0.5583245158195496,1.22044837474823,0.5558735132217407,1.232770562171936
3,0.5698140859603882,1.187960147857666,0.5629978775978088,1.2141132354736328
4,0.5804542899131775,1.159317970275879,0.5653062462806702,1.2078291177749634
5,0.5899995565414429,1.132232427597046,0.5661547183990479,1.2069603204727173
6,0.5996238589286804,1.105237603187561,0.564313530921936,1.2146497964859009
7,0.6091545224189758,1.0780452489852905,0.5618780255317688,1.226526141166687
8,0.6189917922019958,1.050737977027893,0.5625891089439392,1.236890435218811
9,0.6292867660522461,1.0230714082717896,0.5609436631202698,1.2603425979614258
