epoch,accuracy,loss,val_accuracy,val_loss
0,0.36285635828971863,1.338215708732605,0.409221887588501,1.2978301048278809
1,0.6465541124343872,0.9890722036361694,0.6599423885345459,0.9246509671211243
2,0.7990589737892151,0.5711241960525513,0.6974063515663147,0.7985027432441711
3,0.8580127358436584,0.4095396101474762,0.680115282535553,0.8083694577217102
4,0.8820924162864685,0.3214139938354492,0.6974063515663147,0.829517662525177
5,0.9150290489196777,0.26076826453208923,0.6887608170509338,0.8993241190910339
6,0.9346803426742554,0.21235258877277374,0.7031700015068054,0.9255920648574829
7,0.9482424855232239,0.1749270260334015,0.6772334575653076,1.036375880241394
8,0.9546083807945251,0.1492384672164917,0.6858789920806885,1.0596262216567993
9,0.9642956256866455,0.1300659328699112,0.6743515729904175,1.1948167085647583
10,0.9665098190307617,0.12119214981794357,0.6743515729904175,1.1897594928741455
11,0.9695543646812439,0.10453608632087708,0.6829971075057983,1.2188266515731812
12,0.9698311686515808,0.09780567139387131,0.6743515729904175,1.2828603982925415
13,0.9690008163452148,0.09147999435663223,0.680115282535553,1.3440144062042236
14,0.9706615209579468,0.09334860742092133,0.680115282535553,1.4022713899612427
15,0.9712150692939758,0.08521075546741486,0.680115282535553,1.384879469871521
16,0.975643515586853,0.07829836010932922,0.6858789920806885,1.4167054891586304
17,0.9753667116165161,0.07537466287612915,0.6743515729904175,1.4956376552581787
18,0.977027416229248,0.07020405679941177,0.6772334575653076,1.4939978122711182
19,0.9781345129013062,0.0675353854894638,0.6657060384750366,1.5610071420669556
20,0.976473867893219,0.06873489916324615,0.6685879230499268,1.5559027194976807
21,0.9767506122589111,0.06466318666934967,0.6541786789894104,1.635847568511963
22,0.9773041605949402,0.06125162914395332,0.6685879230499268,1.6305524110794067
23,0.977027416229248,0.06158847734332085,0.6685879230499268,1.628881812095642
24,0.9778577089309692,0.06754011660814285,0.6657060384750366,1.6715184450149536
